"Age Groups (13) and Sex (3) for the Population of Canada, Provinces and Territories, 1921 to 2006 Censuses - 100% Data"
"Geography = New Brunswick / Nouveau-Brunswick"
"Census year (15) = 2001"
"Age groups (13)","Total - Sex","  Male","  Female", 
"Total - Age groups [1]",729500,356705,372795 
"  Under 5 years",37690,19405,18285 
"  5 to 9 years",44120,22630,21485 
"  10 to 14 years",48290,24825,23465 
"  15 to 24 years",97430,49305,48120 
"  25 to 34 years",94800,46360,48440 
"  35 to 44 years",122170,60055,62115 
"  45 to 54 years",113160,56025,57135 
"  55 to 64 years",72905,36405,36505 
"  65 to 74 years",52025,24070,27955 
"  75 to 84 years",35085,14055,21030 
"  85 years and over",11825,3570,8255 
"Median age [2]",38.6,37.7,39.4 
"Note"
"[1] Includes institutional residents."
"[2] The median age is an age 'x', such that exactly one half of the population is older than 'x' and the other half is younger than 'x'."
"Source: Statistics Canada - 2006 Census. Catalogue Number 97-551-XCB2006005."
