"Age Groups (13) and Sex (3) for the Population of Canada, Provinces and Territories, 1921 to 2006 Censuses - 100% Data"
"Geography = New Brunswick / Nouveau-Brunswick"
"Census year (15) = 1951 [1]"
"Age groups (13)","Total - Sex","  Male","  Female", 
"Total - Age groups [2]",515697,259211,256486 
"  Under 5 years",74869,38242,36627 
"  5 to 9 years",59504,30289,29215 
"  10 to 14 years",49541,25127,24414 
"  15 to 24 years",79409,38305,41104 
"  25 to 34 years",72167,35357,36810 
"  35 to 44 years",61576,31717,29859 
"  45 to 54 years",44147,22446,21701 
"  55 to 64 years",35451,18134,17317 
"  65 to 74 years",25467,13001,12466 
"  75 to 84 years",11222,5574,5648 
"  85 years and over",2344,1019,1325 
"Median age [3]",24.2,24.3,24.2 
"Note"
"[1] Data for Nunavut are not available prior to 2001. The figures for this census year have not been subjected to random rounding. Median age is calculated from population estimates for this census year."
"[2] Includes institutional residents."
"[3] The median age is an age 'x', such that exactly one half of the population is older than 'x' and the other half is younger than 'x'."
"Source: Statistics Canada - 2006 Census. Catalogue Number 97-551-XCB2006005."
