"Age Groups (13) and Sex (3) for the Population of Canada, Provinces and Territories, 1921 to 2006 Censuses - 100% Data"
"Geography = New Brunswick / Nouveau-Brunswick"
"Census year (15) = 1931 [1]"
"Age groups (13)","Total - Sex","  Male","  Female", 
"Total - Age groups [2]",408219,208620,199599 
"  Under 5 years",47588,23896,23692 
"  5 to 9 years",50322,25627,24695 
"  10 to 14 years",46811,23758,23053 
"  15 to 24 years",77260,39580,37680 
"  25 to 34 years",50200,25135,25065 
"  35 to 44 years",44933,22924,22009 
"  45 to 54 years",37033,19539,17494 
"  55 to 64 years",26733,14183,12550 
"  65 to 74 years",18070,9433,8637 
"  75 to 84 years",7664,3850,3814 
"  85 years and over",1605,695,910 
"Median age [3]",22.2,22.4,22.0 
"Note"
"[1] Data for Nunavut are not available prior to 2001. The figures for this census year have not been subjected to random rounding. Median age is calculated from population estimates for this census year. Data for Newfoundland and Labrador are not available prior to 1951."
"[2] Includes institutional residents."
"[3] The median age is an age 'x', such that exactly one half of the population is older than 'x' and the other half is younger than 'x'."
"Source: Statistics Canada - 2006 Census. Catalogue Number 97-551-XCB2006005."
