"Age Groups (13) and Sex (3) for the Population of Canada, Provinces and Territories, 1921 to 2006 Censuses - 100% Data"
"Geography = New Brunswick / Nouveau-Brunswick"
"Census year (15) = 1956 [1]"
"Age groups (13)","Total - Sex","  Male","  Female", 
"Total - Age groups [2]",554616,279590,275026 
"  Under 5 years",74299,37713,36586 
"  5 to 9 years",73034,37190,35844 
"  10 to 14 years",57938,29569,28369 
"  15 to 24 years",83469,41145,42324 
"  25 to 34 years",69286,34113,35173 
"  35 to 44 years",66500,33729,32771 
"  45 to 54 years",49607,25796,23811 
"  55 to 64 years",37291,18910,18381 
"  65 to 74 years",27720,13987,13733 
"  75 to 84 years",12635,6240,6395 
"  85 years and over",2837,1198,1639 
"Median age [3]",23.3,23.3,23.4 
"Note"
"[1] Data for Nunavut are not available prior to 2001. The figures for this census year have not been subjected to random rounding. Median age is calculated from population estimates for this census year."
"[2] Includes institutional residents."
"[3] The median age is an age 'x', such that exactly one half of the population is older than 'x' and the other half is younger than 'x'."
"Source: Statistics Canada - 2006 Census. Catalogue Number 97-551-XCB2006005."
