"Age Groups (13) and Sex (3) for the Population of Canada, Provinces and Territories, 1921 to 2006 Censuses - 100% Data"
"Geography = New Brunswick / Nouveau-Brunswick"
"Census year (15) = 1941 [1]"
"Age groups (13)","Total - Sex","  Male","  Female", 
"Total - Age groups [2]",457401,234097,223304 
"  Under 5 years",50062,25337,24725 
"  5 to 9 years",47908,24176,23732 
"  10 to 14 years",47821,23957,23864 
"  15 to 24 years",90751,46705,44046 
"  25 to 34 years",66836,34916,31920 
"  35 to 44 years",48635,24733,23902 
"  45 to 54 years",41653,21497,20156 
"  55 to 64 years",31301,16362,14939 
"  65 to 74 years",21440,11138,10302 
"  75 to 84 years",9168,4453,4715 
"  85 years and over",1826,823,1003 
"Median age [3]",24.0,24.2,23.8 
"Note"
"[1] Data for Nunavut are not available prior to 2001. The figures for this census year have not been subjected to random rounding. Median age is calculated from population estimates for this census year. Data for Newfoundland and Labrador are not available prior to 1951."
"[2] Includes institutional residents."
"[3] The median age is an age 'x', such that exactly one half of the population is older than 'x' and the other half is younger than 'x'."
"Source: Statistics Canada - 2006 Census. Catalogue Number 97-551-XCB2006005."
