"Age Groups (13) and Sex (3) for the Population of Canada, Provinces and Territories, 1921 to 2006 Censuses - 100% Data"
"Geography = New Brunswick / Nouveau-Brunswick"
"Census year (15) = 2006"
"Age groups (13)","Total - Sex","  Male","  Female", 
"Total - Age groups [1]",729995,355500,374495 
"  Under 5 years",34430,17555,16880 
"  5 to 9 years",38875,20065,18805 
"  10 to 14 years",44945,23035,21910 
"  15 to 24 years",92330,46775,45555 
"  25 to 34 years",87495,42295,45200 
"  35 to 44 years",109445,53445,56000 
"  45 to 54 years",120070,58745,61325 
"  55 to 64 years",94760,47085,47675 
"  65 to 74 years",56845,27190,29660 
"  75 to 84 years",36685,15050,21640 
"  85 years and over",14105,4255,9850 
"Median age [2]",41.5,40.7,42.3 
"Note"
"[1] Includes institutional residents."
"[2] The median age is an age 'x', such that exactly one half of the population is older than 'x' and the other half is younger than 'x'."
"Source: Statistics Canada - 2006 Census. Catalogue Number 97-551-XCB2006005."
