"Age Groups (13) and Sex (3) for the Population of Canada, Provinces and Territories, 1921 to 2006 Censuses - 100% Data"
"Geography = New Brunswick / Nouveau-Brunswick"
"Census year (15) = 1961 [1]"
"Age groups (13)","Total - Sex","  Male","  Female", 
"Total - Age groups [2]",597936,302440,295496 
"  Under 5 years",78560,40430,38130 
"  5 to 9 years",75882,38666,37216 
"  10 to 14 years",72745,37003,35742 
"  15 to 24 years",90933,46214,44719 
"  25 to 34 years",67477,33593,33884 
"  35 to 44 years",69809,34818,34991 
"  45 to 54 years",56676,29310,27366 
"  55 to 64 years",38937,19589,19348 
"  65 to 74 years",29321,14480,14841 
"  75 to 84 years",14416,6944,7472 
"  85 years and over",3180,1393,1787 
"Median age [3]",22.3,21.9,22.7 
"Note"
"[1] Data for Nunavut are not available prior to 2001. The figures for this census year have not been subjected to random rounding."
"[2] Includes institutional residents."
"[3] The median age is an age 'x', such that exactly one half of the population is older than 'x' and the other half is younger than 'x'."
"Source: Statistics Canada - 2006 Census. Catalogue Number 97-551-XCB2006005."
