"Age Groups (13) and Sex (3) for the Population of Canada, Provinces and Territories, 1921 to 2006 Censuses - 100% Data"
"Geography = New Brunswick / Nouveau-Brunswick"
"Census year (15) = 1921 [1]"
"Age groups (13)","Total - Sex","  Male","  Female", 
"Total - Age groups [2]",387876,197351,190525 
"  Under 5 years",48905,24740,24165 
"  5 to 9 years",46977,23677,23300 
"  10 to 14 years",43799,22207,21592 
"  15 to 24 years",71451,35594,35857 
"  25 to 34 years",51704,25981,25723 
"  35 to 44 years",43024,22287,20737 
"  45 to 54 years",33793,17937,15856 
"  55 to 64 years",24220,12647,11573 
"  65 to 74 years",15754,8253,7501 
"  75 to 84 years",6884,3397,3487 
"  85 years and over",1365,631,734 
"Median age [3]",22.2,22.5,22.0 
"Note"
"[1] Data for Nunavut are not available prior to 2001. The figures for this census year have not been subjected to random rounding. Median age is calculated from population estimates for this census year. Data for Newfoundland and Labrador are not available prior to 1951."
"[2] Includes institutional residents."
"[3] The median age is an age 'x', such that exactly one half of the population is older than 'x' and the other half is younger than 'x'."
"Source: Statistics Canada - 2006 Census. Catalogue Number 97-551-XCB2006005."
